frame,e2e_ms,pre_ms,infer_ms,post_ms,cpu_util_pct,ram_used_mb,gpu_util_pct,vram_used_mb,power_w
161,24.888399988412857,1.0041000787168741,11.289299931377172,12.315900065004826,14.5,14627.9921875,25,801.73046875,13.625
162,25.88490000925958,0.9188000112771988,11.303899809718132,13.351199915632606,15.9,14627.9921875,25,801.73046875,13.625
163,29.04099994339049,0.9616001043468714,11.469299905002117,16.279200091958046,18.5,14628.03125,25,801.73046875,13.63
164,26.96639997884631,1.3710998464375734,12.134300079196692,13.07860016822815,28.3,14628.01953125,25,801.73046875,13.63
165,25.763400131836534,0.8562000002712011,11.917100055143237,12.702099978923798,14.3,14628.01953125,25,801.73046875,13.63
166,27.098100166767836,0.9578999597579241,11.586099863052368,14.253699919208884,13.4,14628.015625,25,801.73046875,13.63
167,24.286899948492646,1.1961001437157393,11.371900094673038,11.425900040194392,20.8,14628.015625,25,801.73046875,13.679
168,24.395399959757924,1.0102000087499619,11.92840002477169,11.172400088980794,14.3,14627.484375,25,801.73046875,13.679
169,48.76710008829832,1.1050000321120024,17.795199993997812,29.51629995368421,13.5,14589.51953125,25,801.73046875,13.679
170,24.572400143370032,1.165200024843216,11.652899906039238,11.4397001452744,4.0,14600.50390625,25,801.73046875,13.748
171,24.64749990031123,0.99539989605546,11.593700153753161,11.784599861130118,13.3,14600.50390625,25,801.73046875,13.748
172,24.73029983229935,0.914399977773428,11.246100068092346,12.29139999486506,5.4,14599.16015625,38,801.73046875,13.748
173,38.67250005714595,1.5701998490840197,20.607300102710724,16.192400129511952,7.9,14599.19140625,38,801.73046875,13.791
174,37.13360009714961,1.047499943524599,20.29799995943904,15.504800016060472,3.0,14599.19140625,38,801.73046875,13.791
175,40.71770003065467,0.9548000525683165,15.701400116086006,23.783900076523423,5.9,14599.19140625,38,801.73046875,13.791
176,43.24829997494817,1.0202000848948956,20.19000006839633,21.74369990825653,6.9,14599.19140625,38,801.73046875,13.804
177,29.50490009970963,1.394100021570921,15.977900009602308,11.8454999756068,8.0,14599.19140625,38,801.73046875,13.804
178,32.7048001345247,1.0752000380307436,16.418700106441975,14.880800154060125,8.5,14599.19140625,38,801.73046875,13.804
179,38.08970004320145,0.8980999700725079,12.297499924898148,24.63150001130998,6.9,14599.19140625,38,801.73046875,13.717
180,37.901399889960885,1.1873000767081976,20.929699996486306,15.526100061833858,5.7,14599.10546875,38,801.73046875,13.717
181,26.9444000441581,1.0891000274568796,11.25470013357699,14.311699895188212,6.6,14599.10546875,38,801.73046875,13.717
182,46.39769997447729,0.9037998970597982,20.50230000168085,24.743200046941638,4.5,14563.58984375,38,801.73046875,13.584
183,42.141699930652976,1.199800055474043,20.920699927955866,19.738700008019805,6.2,14563.62109375,38,801.73046875,13.584
184,38.59589993953705,1.0444000363349915,12.449100147932768,24.80660006403923,6.8,14563.6796875,38,801.73046875,13.489
185,44.90200011059642,1.0772999376058578,20.911599975079298,22.506500128656626,6.7,14563.6796875,38,801.73046875,13.489
186,43.080300092697144,0.9363000281155109,16.018199967220426,25.866700103506446,7.9,14563.359375,38,801.73046875,13.383
187,36.27110016532242,0.9830999188125134,19.065900007262826,15.918900026008487,9.8,14556.9921875,38,801.73046875,13.383
188,28.338999953120947,1.045699929818511,16.132100019603968,10.852399980649352,7.9,14556.2109375,38,801.73046875,13.383
189,22.671799873933196,1.0852999985218048,11.27350004389882,10.024999966844916,11.1,14556.2109375,38,801.73046875,13.473
190,20.835799863561988,0.8169999346137047,10.535200126469135,9.223299799486995,9.1,14556.2109375,38,801.73046875,13.473
191,20.76609991490841,1.0186999570578337,10.819500079378486,8.665099972859025,13.0,14556.2109375,38,801.73046875,13.473
192,32.74179995059967,0.879799947142601,13.553500175476074,18.03410006687045,9.4,14556.2109375,38,801.73046875,13.473
193,36.88880009576678,0.8684999775141478,11.0856001265347,24.652300169691443,1.6,14556.1953125,38,801.73046875,13.517
194,35.594800021499395,1.0460000485181808,16.743000131100416,17.504699993878603,15.2,14554.7890625,38,801.73046875,13.517
195,45.966099947690964,1.2000000569969416,21.482300013303757,23.00899988040328,5.6,14554.7890625,38,801.73046875,13.37
